class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
Hphil,0.3118095341750109,0.2984327383543753,0.325647583804963,0.288984701605574,0.2816570736140563,0.2969573614056346,0.0032,CD,60
Arom,0.1250171963430561,0.1153624292555507,0.1343056160208968,0.175389048773099,0.1687348530748258,0.1818407300817933,0.0,CD,60
pureHphob,0.4671552024379625,0.4514584240313452,0.4825859817152808,0.4840928506513178,0.4755358224780369,0.4930324144198728,0.0562,CD,60
pureHphil,0.1364886808881149,0.1269046582498911,0.1471484545058772,0.1156552559830354,0.1103434565283247,0.1206452590124204,0.0003,CD,60
pureArom,0.0105034828036569,0.0078363082281236,0.0132781889420983,0.038323311117843,0.0351408664041199,0.0416540442290215,0.0,CD,60
SHphob,0.4303991724738675,0.4157229965156794,0.4451273954703832,0.4194522957198444,0.4110505836575875,0.4275525291828794,0.1998,CD,70
WHphob,0.2265132839721254,0.2149172473867595,0.2388991724738675,0.2567310505836576,0.2484805447470817,0.2645155642023346,0.0001,CD,70
Hphil,0.3121866289198606,0.2989982578397213,0.3260017421602787,0.2878975875486381,0.2796089494163424,0.2957256809338521,0.0024,CD,70
Arom,0.1247837543554007,0.1149771341463414,0.1341517857142857,0.1747536186770427,0.1681712062256809,0.1811712062256809,0.0,CD,70
pureHphob,0.4672497822299651,0.4525206881533101,0.4814949912891986,0.4861420233463035,0.4775077821011673,0.4947898832684825,0.0299,CD,70
pureHphil,0.1361942508710801,0.1265243902439024,0.1465592334494773,0.1151747081712062,0.1101147859922179,0.120544747081712,0.0003,CD,70
pureArom,0.0103911149825783,0.0076219512195121,0.0132894163763066,0.0380949416342412,0.0345525291828793,0.0413229571984435,0.0,CD,70
SHphob,0.4245140515222482,0.4093618266978922,0.4395843091334895,0.4159207581227435,0.406947202166065,0.4248194945848375,0.3364,CD,80
WHphob,0.2272444964871194,0.2152166276346604,0.2405210772833723,0.254609927797834,0.2462973826714801,0.2632671480144404,0.0008,CD,80
Hphil,0.3157121779859485,0.3016334894613583,0.3292798594847775,0.2921925992779783,0.2841155234657039,0.3003632671480144,0.0059,CD,80
Arom,0.1218173302107728,0.1121779859484777,0.1311533957845433,0.173940072202166,0.1673285198555956,0.1804151624548736,0.0,CD,80
pureHphob,0.4607081967213114,0.4470725995316159,0.4758782201405152,0.4782860108303247,0.4687725631768953,0.487725631768953,0.0442,CD,80
pureHphil,0.1384175644028103,0.128331381733021,0.1491803278688524,0.1182091155234657,0.1122743682310469,0.1240974729241877,0.0008,CD,80
pureArom,0.0108025761124121,0.0077283372365339,0.0140515222482435,0.0361443140794223,0.032942238267148,0.0395306859205776,0.0,CD,80
SHphob,0.4132074805928017,0.3959068454481299,0.4312014820042343,0.4101097742127154,0.3988413547237077,0.4217208853238265,0.7856,CD,90
WHphob,0.2233609738884968,0.2081863091037403,0.2388849682427664,0.2575081699346405,0.2470291146761735,0.2676767676767677,0.0004,CD,90
Hphil,0.331317572335921,0.3140437544107269,0.3496912491178546,0.298187908496732,0.2877265300059418,0.3098670528817587,0.001,CD,90
Arom,0.1076467889908256,0.0970359915314043,0.1185691601976005,0.1765695187165775,0.1675579322638146,0.1858288770053476,0.0,CD,90
pureHphob,0.4372911079745942,0.418136908962597,0.4555486944248412,0.4716947415329768,0.4598893345216874,0.4832144979203803,0.0034,CD,90
pureHphil,0.147317925194072,0.1347829922371206,0.1598447424135497,0.1202544563279857,0.1118538324420677,0.1283422459893048,0.0002,CD,90
pureArom,0.0064011997177134,0.0035285815102328,0.0095271700776287,0.0374691027926322,0.0331253713606654,0.0418931966726084,0.0,CD,90
SHphob,0.4203324408117249,0.4091037204058624,0.4323597801578354,0.4295442145734163,0.423102801171732,0.4366086140607836,0.1811,CG,0
WHphob,0.2315965332581736,0.2225197294250281,0.2415445321307779,0.254463886854632,0.2488545862321494,0.2601153423654339,0.0001,CG,0
Hphil,0.3069045941375423,0.2958004509582863,0.3173618940248027,0.2814072683998534,0.2754485536433541,0.287259703405346,0.0,CG,0
Arom,0.1480927282976325,0.1396561443066516,0.1564261555806088,0.1752689948736726,0.1701734712559502,0.1801995606005126,0.0,CG,0
pureHphob,0.4537027903043969,0.4420765219842165,0.4650577790304396,0.4950585865983156,0.4884165598681801,0.5019235170267302,0.0,CG,0
pureHphil,0.1259596956031567,0.1187993235625704,0.1340191657271702,0.1096584584401318,0.1057751281581838,0.1139703863053826,0.0002,CG,0
pureArom,0.0180594701240135,0.0150789177001127,0.0211421927846674,0.0376515470523617,0.0352892713291834,0.0400494324423288,0.0,CG,0
SHphob,0.4200739853438556,0.4091037204058624,0.4317925591882751,0.4292988831929696,0.4230124038813621,0.4361955327718784,0.1887,CG,10
WHphob,0.2318989571589628,0.222516206313416,0.2423900789177001,0.2544288264372025,0.248671503112413,0.2602549432442329,0.0002,CG,10
Hphil,0.307324689966178,0.2965015501691093,0.3180665163472378,0.2813100054924936,0.2753993500549249,0.287623581105822,0.0001,CG,10
Arom,0.1481792559188275,0.1402163190529876,0.1571307779030439,0.1752562705968509,0.1703588429146832,0.180428414500183,0.0,CG,10
pureHphob,0.4541182356257046,0.4430559470124013,0.4659033258173619,0.495115937385573,0.4887861589161479,0.5011442694983522,0.0,CG,10
pureHphil,0.1260163472378805,0.1185174746335964,0.1340226888387824,0.1095467777370926,0.1055909007689491,0.1135584492859758,0.0002,CG,10
pureArom,0.0181121758737316,0.0150789177001127,0.0212795941375422,0.037537486268766,0.0350146466495789,0.0399590351519589,0.0,CG,10
SHphob,0.4203459695603156,0.4083990980834273,0.4319334836527621,0.429519406810692,0.4231954870010985,0.4360582204320761,0.1835,CG,20
WHphob,0.2318434329199549,0.22195603156708,0.2416889797068771,0.254591633101428,0.2488088154522153,0.2604837971439033,0.0001,CG,20
Hphil,0.3069990135287486,0.2965050732807215,0.31807003945885,0.2814153698279019,0.2756316367630904,0.2872139326254119,0.0001,CG,20
Arom,0.1478131341600901,0.1395116967305524,0.1565670800450958,0.1751865616990113,0.1704492402050531,0.1799707067008421,0.0,CG,20
pureHphob,0.4541689684329199,0.4429220687711386,0.4654770293122886,0.4951574514829732,0.4887850146466495,0.5020162028560967,0.0,CG,20
pureHphil,0.1259678692220969,0.1178128523111612,0.1337373167981961,0.1096356188209447,0.1054101061882094,0.1137861589161479,0.0001,CG,20
pureArom,0.0180078917700112,0.0150753945885005,0.0212831172491544,0.0376740662760893,0.0352435005492493,0.040186744782131,0.0,CG,20
SHphob,0.420113162344983,0.408254650507328,0.4316586809470124,0.4293099597217136,0.4233774258513365,0.4356954870010985,0.1753,CG,30
WHphob,0.2317901634723788,0.22195603156708,0.2411252818489289,0.2542809410472355,0.248671503112413,0.2597503203954596,0.0002,CG,30
Hphil,0.3071450112739571,0.2962197012401353,0.3176472660653889,0.2813363236909557,0.2752643262541193,0.2868466221164409,0.0001,CG,30
Arom,0.1478959977452086,0.1393742953776775,0.1558659808342728,0.1750919534968875,0.1702661570853167,0.1798803094104723,0.0,CG,30
pureHphob,0.454124436302142,0.4416572717023675,0.4653325817361894,0.4951250915415598,0.4885561607469791,0.5016488923471256,0.0,CG,30
pureHphil,0.1260187429537767,0.1179537767756482,0.1341600901916572,0.1095518125228854,0.1053185646283412,0.1135126785060417,0.0001,CG,30
pureArom,0.0180353720405862,0.0150753945885005,0.0212795941375422,0.0376259154155986,0.035106188209447,0.0403240571219333,0.0,CG,30
SHphob,0.4203486471251409,0.4079692784667418,0.4320779312288613,0.4294350970340534,0.4226450933723911,0.4360582204320761,0.174,CG,40
WHphob,0.2314472942502818,0.2213888105975197,0.2407025084554678,0.2544307945807396,0.2491292109117539,0.2603441962651043,0.0003,CG,40
Hphil,0.307032412626832,0.2967869222096956,0.3182144870349492,0.2815287898205786,0.2756316367630904,0.2874874130355181,0.0,CG,40
Arom,0.1481211950394588,0.1402198421645997,0.156711527621195,0.1750670084218235,0.1699434730867814,0.1801080190406444,0.0,CG,40
pureHphob,0.4540132468996617,0.4423618940248027,0.4663225760992108,0.4951635847674844,0.488692328817283,0.5015104357378249,0.0,CG,40
pureHphil,0.126021702367531,0.117668404735062,0.1343010146561443,0.1096059593555474,0.1054558769681435,0.1139703863053826,0.0001,CG,40
pureArom,0.0180507328072153,0.0150789177001127,0.0211421927846674,0.0374776638593921,0.0349219608202123,0.0400974917612596,0.0,CG,40
SHphob,0.4199224915445321,0.407831877113867,0.4312359075535513,0.4295282863419992,0.4225535518125229,0.4361966770413768,0.1772,CG,50
WHphob,0.231439543404735,0.2225091600901916,0.2412626832018038,0.2544823782497253,0.2488992127425851,0.260161113145368,0.0,CG,50
