metric|Ess_metric|Ess_mean|Ess_mean_lb|Ess_mean_ub|Ess_median|Ess_median_lb|Ess_median_ub|NonEss_metric|NonEss_mean|NonEss_mean_lb|NonEss_mean_ub|NonEss_median|NonEss_median_lb|NonEss_median_ub|pvalues|buff|qvalue
min_C_thread_depth_right|min_C_thread_depth_right|0.7512401763184073|0.6894760730746227|0.8022955578880256|0.8214285714285714|0.2388059701492537|0.9757281553398058|min_C_thread_depth_right|0.7329165821559055|0.6946298227848|0.7672831150343761|0.788235294117647|0.2601626016260163|0.9755434782608696|0.2126277257170814|CD|0.30215518917690515
min_C_thread_slippage_right|min_C_thread_slippage_right|202.01754385964912|153.66666666666666|276.70175438596493|114.0|9.0|961.0|min_C_thread_slippage_right|151.9777777777778|129.86666666666667|178.08866881367825|99.0|16.0|499.0|0.1124110727646172|CD|0.2357434764889582
ACO|ACO|118.70974600757556|102.24256816216594|138.98415950542716|92.5|18.0|464.9411764705882|ACO|120.81083086759138|111.27703461815376|131.6116150788785|90.0|25.5|340.0|0.1151194030014391|CD|0.2357434764889582
RCO|RCO|0.2898582992345072|0.2518015677371918|0.331030016751369|0.2473653638702182|0.0170575692963752|0.7679425837320574|RCO|0.302593519714189|0.2803380399979233|0.3264772525546739|0.2587943848059455|0.0587962962962962|0.7932692307692307|0.1442091863695611|CD|0.25830827657358946
Gn|Gn|0.7860203030303031|0.7592702998837431|0.8205406202679439|0.76455|0.60568|1.17345|Gn|0.7889222033898304|0.7672733043967304|0.8176552260560346|0.74824|0.60298|1.2544|0.6960566293886614|CG|0.7228280382113023
N_term_thread|N_term_thread|1.2222222222222223|1.121212121212121|1.383838383838384|1.0|1.0|3.0|N_term_thread|1.2425531914893615|1.1574468085106382|1.3617021276595744|1.0|1.0|5.0|0.5572517816529795|CG|0.5900312982208018
Gc|Gc|0.8173755555555555|0.7784950937010459|0.8722080047867596|0.75567|0.60711|1.48551|Gc|0.8523124064171123|0.8214192485751255|0.893164136008379|0.78462|0.61145|1.67683|0.0897952888749081|CG|0.2204066181475017
C_term_thread|C_term_thread|1.2098765432098766|1.0987654320987654|1.4074074074074074|1.0|1.0|3.0|C_term_thread|1.1891891891891893|1.1189189189189188|1.2864864864864864|1.0|1.0|3.0|0.3656173045997113|CG|0.429227084161201
loopsize|loopsize|102.82530120481928|88.6987951807229|121.48795180722892|67.0|16.0|411.0|loopsize|103.12121212121212|94.78282828282828|112.6425862613478|69.0|17.0|325.0|0.1586670514494201|CG|0.2677294296575176
num_zipper_nc|num_zipper_nc|14.24698795180723|11.96987951807229|17.43975903614458|8.0|1.0|57.0|num_zipper_nc|14.275252525252526|12.755050505050503|16.015151515151516|8.0|1.0|63.0|0.4754125367692441|CG|0.5337964026995109
perc_bb_loop|perc_bb_loop|0.2264825264178198|0.1981720603400588|0.2587343116858448|0.1674418604651162|0.0156361051883439|0.7255813953488373|perc_bb_loop|0.2635977060679472|0.2444469986989631|0.2842730095060183|0.2025316455696202|0.0409556313993174|0.7760617760617761|0.0030159552507581|CG|0.0183510363208866
num_loop_contacting_res|num_loop_contacting_res|159.96987951807228|143.84915046633148|180.4156110731315|116.0|47.0|506.0|num_loop_contacting_res|164.18434343434345|154.2348484848485|175.46820110271867|128.0|50.0|448.0|0.1288693689005257|CG|0.23996365243546164
num_cross_nearest_neighbors|num_cross_nearest_neighbors|41.48192771084337|39.23493975903615|44.44578313253012|36.0|27.0|92.0|num_cross_nearest_neighbors|42.80303030303031|41.03030303030303|45.04040404040404|37.0|28.0|101.0|0.1267731313527632|CG|0.23996365243546164
ent_coverage|ent_coverage|0.1760578367518732|0.1600479189568338|0.1945063823463415|0.1486238532110091|0.0417287630402384|0.4185185185185185|ent_coverage|0.2082145031223214|0.198744218152009|0.218673236632641|0.1881188118811881|0.0787623066104078|0.4755522514868244|1.2799100341854243e-05|CG|0.0006911514184601292
min_N_prot_depth_left|min_N_prot_depth_left|0.3119446658747419|0.2681045577878914|0.3589305758864852|0.2674418604651162|0.0146788990825688|0.7830188679245284|min_N_prot_depth_left|0.3570507946057606|0.3284558343536147|0.3863868695542127|0.3300970873786408|0.0180995475113122|0.7957446808510639|0.03718468575119|CG|0.1268383052824767
min_N_thread_depth_left|min_N_thread_depth_left|0.7176488231086484|0.6633056608338476|0.7654783146508441|0.8333333333333334|0.1025641025641025|0.9812108559498957|min_N_thread_depth_left|0.7374954770440791|0.7036325417911179|0.7679380694079146|0.8472622478386167|0.1363636363636363|0.9804878048780488|0.3379134278588075|CG|0.41881598693000816
min_N_thread_slippage_left|min_N_thread_slippage_left|200.26262626262627|162.23232323232324|246.67676767676767|133.0|6.0|802.0|min_N_thread_slippage_left|163.48936170212767|144.93191489361703|184.90203198827652|122.0|8.0|602.0|0.3404089939404843|CG|0.41881598693000816
min_C_prot_depth_right|min_C_prot_depth_right|0.3735924176457138|0.3213134093325628|0.4280844373207306|0.3348837209302325|0.0433275563258232|0.8406779661016949|min_C_prot_depth_right|0.3088535915516806|0.2802285483943698|0.3402035697389857|0.2626262626262626|0.0555555555555555|0.7474226804123711|0.0375817200836968|CG|0.1268383052824767
min_C_thread_depth_right|min_C_thread_depth_right|0.7599669258543771|0.7093749998121989|0.8025025795244787|0.8367346938775511|0.2388059701492537|0.9817073170731708|min_C_thread_depth_right|0.7274604861318454|0.6938471482294136|0.7580251500499484|0.7878787878787878|0.1494845360824742|0.9737827715355806|0.0837510234477781|CG|0.2204066181475017
min_C_thread_slippage_right|min_C_thread_slippage_right|228.9135802469136|186.33333333333331|286.0|131.0|12.0|787.0|min_C_thread_slippage_right|141.63243243243244|123.94054054054054|162.56756756756758|91.0|13.0|498.0|0.0016601717769152|CG|0.0149415459922368
ACO|ACO|123.9003942034322|109.4553036753571|141.46889328777286|92.51851851851852|18.0|464.9411764705882|ACO|122.54838038396758|114.50272682875574|131.61672278298622|94.375|26.166666666666668|336.5|0.8572293854077266|CG|0.8572293854077266
RCO|RCO|0.272674609501513|0.2430614034545723|0.3059806401915915|0.2215703971119133|0.0220338983050847|0.7294520547945206|RCO|0.3182449385692444|0.2988363276702616|0.3386413832086703|0.2774951076320939|0.0596658711217183|0.7953667953667953|0.001487091829921|CG|0.0149415459922368
