E4P1_N_ml,E4P1_N_mAU
0.303021,14.093948
0.303518,14.095394
0.304016,14.095824
0.304514,14.095899
0.305011,14.095354
0.305509,14.096994
0.306007,14.097515
0.306504,14.098566
0.307002,14.100243
0.3075,14.099536
0.307998,14.099571
0.308495,14.09748
0.308993,14.09617
0.309491,14.097478
0.309988,14.096891
0.310486,14.097331
0.310984,14.097602
0.311482,14.098928
0.311979,14.09884
0.312477,14.100099
0.312975,14.100831
0.313472,14.10148
0.31397,14.101135
0.314468,14.102633
0.314965,14.102409
0.315463,14.102541
0.315961,14.101843
0.316459,14.101345
0.316956,14.099521
0.317454,14.098535
0.317952,14.097875
0.318449,14.097802
0.318947,14.096865
0.319445,14.097581
0.319943,14.097635
0.32044,14.096587
0.320938,14.097494
0.321436,14.097768
0.321933,14.095717
0.322431,14.097016
0.322929,14.097242
0.323426,14.096987
0.323924,14.096611
0.324422,14.097511
0.32492,14.09588
0.325417,14.096407
0.325915,14.097581
0.326413,14.096769
0.32691,14.097011
0.327408,14.097259
0.327906,14.097507
0.328404,14.097519
0.328901,14.097869
0.329399,14.098689
0.329897,14.097557
0.330394,14.098006
0.330892,14.097919
0.33139,14.097768
0.331887,14.097312
0.332385,14.097475
0.332883,14.097909
0.333381,14.098872
0.333878,14.09883
0.334376,14.099427
0.334874,14.10006
0.335371,14.0998
0.335869,14.099854
0.336367,14.101941
0.336865,14.101027
0.337362,14.100368
0.33786,14.101296
0.338358,14.101315
0.338855,14.099837
0.339353,14.09988
0.339851,14.099085
0.340348,14.100266
0.340846,14.100508
0.341344,14.10047
0.341842,14.101589
0.342339,14.102472
0.342837,14.105059
0.343335,14.103791
0.343832,14.103459
0.34433,14.102818
0.344828,14.103427
0.345326,14.102559
0.345823,14.102769
0.346321,14.100956
0.346819,14.102202
0.347316,14.100724
0.347814,14.101163
0.348312,14.100766
0.348809,14.099674
0.349307,14.100302
0.349805,14.100962
0.350303,14.100824
0.3508,14.10198
0.351298,14.103208
0.351796,14.103787
0.352293,14.103889
0.352791,14.102948
0.353289,14.102153
0.353787,14.101212
0.354284,14.09938
0.354782,14.098635
0.35528,14.096859
0.355777,14.097899
0.356275,14.098539
0.356773,14.098615
0.35727,14.098086
0.357768,14.098858
0.358266,14.097998
0.358764,14.098743
0.359261,14.098593
0.359759,14.099565
0.360257,14.099044
0.360754,14.099705
0.361252,14.099242
0.36175,14.098708
0.362248,14.098442
0.362745,14.098069
0.363243,14.096882
0.363741,14.097589
0.364238,14.097697
0.364736,14.097266
0.365234,14.09622
0.365731,14.096034
0.366229,14.096933
0.366727,14.098595
0.367225,14.099461
0.367722,14.100458
0.36822,14.100105
0.368718,14.099391
0.369215,14.098425
0.369713,14.098349
0.370211,14.098198
0.370709,14.09903
0.371206,14.099432
0.371704,14.099237
0.372202,14.09908
0.372699,14.100058
0.373197,14.100687
0.373695,14.101089
0.374192,14.101178
0.37469,14.102074
0.375188,14.103736
0.375686,14.104151
0.376183,14.103252
0.376681,14.102767
0.377179,14.103945
0.377676,14.104992
0.378174,14.105173
0.378672,14.1052
0.37917,14.103865
0.379667,14.103566
0.380165,14.104299
0.380663,14.104343
0.38116,14.104941
0.381658,14.104874
0.382156,14.104276
0.382653,14.104338
0.383151,14.1043
0.383649,14.103414
0.384147,14.102888
0.384644,14.102269
0.385142,14.100314
0.38564,14.099426
0.386137,14.098771
0.386635,14.098161
0.387133,14.097292
0.387631,14.094501
0.388128,14.09395
0.388626,14.093345
0.389124,14.092043
0.389621,14.090803
0.390119,14.090225
0.390617,14.090025
0.391114,14.089547
0.391612,14.089034
0.39211,14.089443
0.392608,14.088863
0.393105,14.089117
0.393603,14.090021
0.394101,14.089884
0.394598,14.089322
0.395096,14.088343
0.395594,14.088293
0.396092,14.087553
0.396589,14.089278
0.397087,14.089191
0.397585,14.089505
0.398082,14.089064
0.39858,14.088136
0.399078,14.087242
0.399576,14.086392
0.400073,14.08716
0.400571,14.088316
0.401069,14.088118
0.401566,14.090645
0.402064,14.090914
0.402562,14.09064
0.403059,14.091783
0.403557,14.092107
0.404055,14.091791
0.404553,14.092131
0.40505,14.092223
0.405548,14.091677
0.406046,14.091484
0.406543,14.092686
0.407041,14.094857
0.407539,14.096238
0.408037,14.095767
0.408534,14.096512
0.409032,14.095609
0.40953,14.096718
0.410027,14.098094
0.410525,14.098886
0.411023,14.099989
0.41152,14.101537
0.412018,14.102444
0.412516,14.103206
0.413014,14.102356
0.413511,14.103586
0.414009,14.103513
0.414507,14.104128
0.415004,14.102777
0.415502,14.102464
0.416,14.10448
0.416498,14.105515
0.416995,14.10479
0.417493,14.104633
0.417991,14.105042
0.418488,14.104629
0.418986,14.104471
0.419484,14.104228
0.419981,14.103992
0.420479,14.10526
0.420977,14.106089
0.421475,14.107152
0.421972,14.106524
0.42247,14.108047
0.422968,14.107232
0.423465,14.107046
0.423963,14.106739
0.424461,14.106608
0.424959,14.103925
0.425456,14.10338
0.425954,14.102351
0.426452,14.101735
0.426949,14.101891
0.427447,14.103544
0.427945,14.101572
0.428442,14.099443
0.42894,14.099076
0.429438,14.098973
0.429936,14.098061
0.430433,14.098068
0.430931,14.097888
0.431429,14.096311
0.431926,14.095833
0.432424,14.095411
0.432922,14.095048
0.43342,14.092951
0.433917,14.092232
0.434415,14.092047
0.434913,14.090452
0.43541,14.089819
0.435908,14.09025
0.436406,14.090972
0.436903,14.090101
0.437401,14.090687
0.437899,14.090313
0.438397,14.091137
0.438894,14.090329
0.439392,14.091376
0.43989,14.08989
0.440387,14.091275
0.440885,14.092261
0.441383,14.092547
0.441881,14.093459
0.442378,14.09264
0.442876,14.093809
0.443374,14.092641
0.443871,14.093025
0.444369,14.092973
0.444867,14.091877
0.445364,14.091261
0.445862,14.091805
0.44636,14.092647
0.446858,14.093546
0.447355,14.094837
0.447853,14.093905
0.448351,14.094262
0.448848,14.094239
0.449346,14.093966
0.449844,14.095666
0.450342,14.096774
0.450839,14.097761
0.451337,14.097815
0.451835,14.097989
0.452332,14.097836
0.45283,14.098908
0.453328,14.098681
0.453825,14.098447
0.454323,14.096577
0.454821,14.09747
0.455319,14.09707
0.455816,14.097239
0.456314,14.097226
0.456812,14.099157
0.457309,14.101196
0.457807,14.101645
0.458305,14.099904
0.458803,14.099992
