E4P1_R_ml,E4P1_R_mAU
0.637293,14.183903
0.637792,14.18222
0.63829,14.181241
0.638789,14.180328
0.639287,14.182733
0.639786,14.182278
0.640284,14.182055
0.640783,14.181886
0.641281,14.183091
0.641779,14.184694
0.642278,14.188591
0.642776,14.190512
0.643275,14.190466
0.643774,14.189869
0.644272,14.190643
0.64477,14.189501
0.645269,14.189122
0.645767,14.188807
0.646266,14.186842
0.646764,14.185015
0.647263,14.186746
0.647761,14.187269
0.64826,14.187994
0.648758,14.188152
0.649256,14.188045
0.649755,14.185585
0.650253,14.185646
0.650752,14.186317
0.65125,14.186809
0.651749,14.186569
0.652247,14.187883
0.652746,14.188232
0.653244,14.189897
0.653742,14.188776
0.654241,14.187827
0.654739,14.18636
0.655238,14.185632
0.655736,14.184755
0.656235,14.185383
0.656733,14.185122
0.657232,14.185089
0.65773,14.185551
0.658228,14.18699
0.658727,14.188445
0.659225,14.188907
0.659724,14.187174
0.660223,14.187382
0.660721,14.18863
0.661219,14.189221
0.661718,14.189603
0.662216,14.190396
0.662714,14.189324
0.663213,14.188221
0.663712,14.188071
0.66421,14.188286
0.664709,14.188274
0.665207,14.187882
0.665705,14.186419
0.666204,14.186978
0.666702,14.187132
0.667201,14.186313
0.667699,14.184926
0.668198,14.185335
0.668696,14.186343
0.669195,14.18681
0.669693,14.186409
0.670191,14.185589
0.67069,14.184304
0.671188,14.183907
0.671687,14.184783
0.672185,14.1853
0.672684,14.184673
0.673182,14.18335
0.673681,14.182583
0.674179,14.18309
0.674677,14.183578
0.675176,14.183915
0.675674,14.184756
0.676173,14.18561
0.676672,14.184298
0.67717,14.183403
0.677668,14.182255
0.678167,14.182026
0.678665,14.181232
0.679163,14.180586
0.679662,14.181126
0.680161,14.181379
0.680659,14.182274
0.681158,14.181826
0.681656,14.180127
0.682154,14.180036
0.682653,14.180233
0.683151,14.180604
0.68365,14.181572
0.684148,14.181704
0.684647,14.181011
0.685145,14.181139
0.685644,14.180815
0.686142,14.181655
0.68664,14.180284
0.687139,14.17909
0.687637,14.179371
0.688136,14.179594
0.688634,14.179722
0.689133,14.180394
0.689631,14.18017
0.69013,14.181399
0.690628,14.181603
0.691126,14.182465
0.691625,14.182574
0.692123,14.183065
0.692622,14.183146
0.69312,14.181098
