gene;model
A0A1D6LJ90;F1
A0A1D6LKA6;F1
A0A1D6LN32;F1
A0A1D6LQE7;F1
A0A1D6LR28;F1
A0A1D6LVN7;F1
A0A1D6LVW0;F1
A0A1D6LVZ7;F1
A0A1D6LWI6;F1
A0A1D6M2P1;F1
A0A1D6M2T7;F1
A0A1D6M2Y1;F1
A0A1D6M3E5;F1
A0A1D6M5A5;F1
A0A1D6M6G4;F1
A0A1D6M6X9;F1
A0A1D6M7L3;F1
A0A1D6M7N5;F1
A0A1D6MAI6;F1
A0A1D6MBQ9;F1
A0A1D6MDN5;F1
A0A1D6ME19;F1
A0A1D6MEQ0;F1
A0A1D6MG66;F1
A0A1D6MHJ0;F1
A0A1D6MHL5;F1
A0A1D6MIQ2;F1
A0A1D6MJQ5;F1
A0A1D6MNH0;F1
A0A1D6MNI9;F1
A0A1D6MNQ9;F1
A0A1D6MP13;F1
A0A1D6MQI6;F1
A0A1D6MR70;F1
A0A1D6MRI5;F1
A0A1D6MTQ8;F1
A0A1D6MTW7;F1
A0A1D6MUF4;F1
A0A1D6MUI2;F1
A0A1D6MV20;F1
A0A1D6MVE3;F1
A0A1D6MVL9;F1
A0A1D6MVN2;F1
A0A1D6MWA2;F1
A0A1D6MWQ7;F1
A0A1D6MXQ1;F1
A0A1D6MY31;F1
A0A1D6MYG4;F1
A0A1D6MZ39;F1
A0A1D6MZR6;F1
A0A1D6N0K9;F1
A0A1D6N0T6;F1
A0A1D6N3G0;F1
A0A1D6N3L4;F1
A0A1D6N3N6;F1
A0A1D6N4N1;F1
A0A1D6N6Q8;F1
A0A1D6NA94;F1
A0A1D6ND19;F1
A0A1D6NDB8;F1
A0A1D6NFD2;F1
A0A1D6NFE4;F1
A0A1D6NFX6;F1
A0A1D6NHV0;F1
A0A1D6NI30;F1
A0A1D6NI48;F1
A0A1D6NJK2;F1
A0A1D6NJU3;F1
A0A1D6NK70;F1
A0A1D6NL96;F1
A0A1D6NL97;F1
A0A1D6NLA8;F1
A0A1D6NP46;F1
A0A1D6NQF9;F1
A0A1D6NQR4;F1
A0A1D6NQZ5;F1
A0A1D6NSE1;F1
A0A1D6NSH0;F1
A0A1D6NWI3;F1
A0A1D6NXS7;F1
A0A1D6NY29;F1
A0A1D6NYN2;F1
A0A1D6NYR6;F1
A0A1D6P453;F1
A0A1D6P5F2;F1
A0A1D6P5P7;F1
A0A1D6P658;F1
A0A1D6P665;F1
A0A1D6P6H9;F1
A0A1D6P6V0;F1
A0A1D6P727;F1
A0A1D6P753;F1
A0A1D6P7G8;F1
A0A1D6PAE1;F1
A0A1D6PBY5;F1
A0A1D6PC22;F1
A0A1D6PHI3;F1
A0A1D6PL72;F1
A0A1D6PMS2;F1
A0A1D6PNI6;F1
A0A1D6PQ20;F1
A0A1D6PR91;F1
A0A1D6PTV1;F1
A0A1D6Q1D0;F1
A0A1D6Q1N2;F1
A0A1D6Q250;F1
A0A1D6Q257;F1
A0A1D6Q297;F1
A0A1D6Q313;F1
