gene pdb chain
P0A7R5 AF A
P0A7R9 AF A
P0A7S3 AF A
P0A7S9 AF A
P0A7T3 AF A
P0A7T7 AF A
P0A7U3 AF A
P0A7U7 AF A
P0A7V0 AF A
P0A7V3 AF A
P0A7V8 AF A
P0A7W1 AF A
P0A7W7 AF A
P0A7X3 AF A
P0A7X6 AF A
P0A7Y0 AF A
P0A7Y4 AF A
P0A7Y8 AF A
P0A7Z0 AF A
P0A7Z4 AF A
P0A800 AF A
P0A805 AF A
P0A809 AF A
P0A812 AF A
P0A814 AF A
P0A817 AF A
P0A821 AF A
P0A823 AF A
P0A825 AF A
P0A828 AF A
P0A830 AF A
P0A832 AF A
P0A836 AF A
P0A840 AF A
P0A843 AF A
P0A847 AF A
P0A850 AF A
P0A853 AF A
P0A855 AF A
P0A858 AF A
P0A862 AF A
P0A867 AF A
P0A870 AF A
P0A873 AF A
P0A877 AF A
P0A879 AF A
P0A881 AF A
P0A884 AF A
P0A887 AF A
P0A890 AF A
P0A894 AF A
P0A898 AF A
P0A8A0 AF A
P0A8A2 AF A
P0A8A4 AF A
P0A8A8 AF A
P0A8B2 AF A
P0A8B5 AF A
P0A8C1 AF A
P0A8C4 AF A
P0A8C8 AF A
P0A8D0 AF A
P0A8D3 AF A
P0A8D6 AF A
P0A8D9 AF A
P0A8E1 AF A
P0A8E5 AF A
P0A8E7 AF A
P0A8F0 AF A
P0A8F4 AF A
P0A8F8 AF A
P0A8G0 AF A
P0A8G3 AF A
P0A8G6 AF A
P0A8G9 AF A
P0A8H3 AF A
P0A8H6 AF A
P0A8H8 AF A
P0A8I1 AF A
P0A8I3 AF A
P0A8I5 AF A
P0A8I8 AF A
P0A8J2 AF A
P0A8J4 AF A
P0A8J8 AF A
P0A8K1 AF A
P0A8K5 AF A
P0A8K8 AF A
P0A8L1 AF A
P0A8L5 AF A
P0A8L7 AF A
P0A8M0 AF A
P0A8M3 AF A
P0A8M6 AF A
P0A8N0 AF A
P0A8N3 AF A
P0A8N5 AF A
P0A8N7 AF A
P0A8P1 AF A
P0A8P3 AF A
P0A8P6 AF A
P0A8P8 AF A
P0A8Q0 AF A
P0A8Q3 AF A
P0A8Q6 AF A
P0A8R0 AF A
P0A8R4 AF A
P0A8R7 AF A
P0A8R9 AF A
P0A8S1 AF A
P0A8S5 AF A
P0A8S9 AF A
P0A8T1 AF A
P0A8T5 AF A
P0A8T7 AF A
P0A8U0 AF A
P0A8U2 AF A
P0A8U6 AF A
P0A8V0 AF A
P0A8V2 AF A
P0A8V6 AF A
P0A8W0 AF A
P0A8W2 AF A
P0A8W5 AF A
P0A8W8 AF A
P0A8X0 AF A
P0A8X2 AF A
P0A8X4 AF A
P0A8Y1 AF A
P0A8Y3 AF A
P0A8Y5 AF A
P0A8Y8 AF A
P0A8Z0 AF A
P0A8Z3 AF A
P0A8Z7 AF A
P0A901 AF A
P0A903 AF A
P0A908 AF A
P0A910 AF A
P0A912 AF A
P0A915 AF A
P0A917 AF A
P0A921 AF A
P0A924 AF A
P0A927 AF A
P0A930 AF A
P0A932 AF A
P0A935 AF A
P0A937 AF A
P0A940 AF A
P0A944 AF A
P0A948 AF A
P0A951 AF A
P0A953 AF A
P0A955 AF A
P0A959 AF A
P0A962 AF A
P0A964 AF A
P0A968 AF A
P0A972 AF A
P0A976 AF A
P0A978 AF A
P0A982 AF A
P0A986 AF A
P0A988 AF A
P0A991 AF A
P0A993 AF A
P0A996 AF A
P0A998 AF A
P0A9A2 AF A
P0A9A6 AF A
P0A9A9 AF A
P0A9B2 AF A
P0A9B6 AF A
P0A9C0 AF A
P0A9C3 AF A
P0A9C5 AF A
P0A9C9 AF A
P0A9D2 AF A
P0A9D4 AF A
P0A9D8 AF A
P0A9E0 AF A
P0A9E2 AF A
P0A9E5 AF A
P0A9E9 AF A
P0A9F1 AF A
P0A9F3 AF A
P0A9F6 AF A
P0A9F9 AF A
P0A9G2 AF A
P0A9G4 AF A
P0A9G6 AF A
P0A9G8 AF A
P0A9H1 AF A
P0A9H3 AF A
P0A9H5 AF A
P0A9H7 AF A
P0A9H9 AF A
P0A9I1 AF A
P0A9I3 AF A
P0A9I5 AF A
P0A9I8 AF A
P0A9J0 AF A
P0A9J4 AF A
P0A9J6 AF A
P0A9J8 AF A
P0A9K1 AF A
P0A9K3 AF A
P0A9K7 AF A
P0A9K9 AF A
P0A9L3 AF A
P0A9L5 AF A
P0A9L8 AF A
P0A9M0 AF A
P0A9M2 AF A
P0A9M5 AF A
P0A9M8 AF A
P0A9N0 AF A
P0A9N4 AF A
P0A9N8 AF A
P0A9P0 AF A
P0A9P4 AF A
P0A9P6 AF A
P0A9P9 AF A
P0A9Q1 AF A
P0A9Q5 AF A
P0A9Q7 AF A
P0A9Q9 AF A
P0A9R2 AF A
P0A9R4 AF A
P0A9R7 AF A
P0A9S1 AF A
P0A9S3 AF A
P0A9S5 AF A
P0A9S7 AF A
P0A9T0 AF A
P0A9T4 AF A
P0A9T6 AF A
P0A9T8 AF A
P0A9U1 AF A
P0A9U3 AF A
P0A9U6 AF A
P0A9U8 AF A
P0A9V1 AF A
P0A9V5 AF A
P0A9V8 AF A
P0A9W0 AF A
P0A9W3 AF A
P0A9W6 AF A
P0A9W9 AF A
P0A9X1 AF A
P0A9X4 AF A
P0A9X9 AF A
P0A9Y6 AF A
P0A9Z1 AF A
P0AA04 AF A
P0AA10 AF A
P0AA16 AF A
P0AA25 AF A
P0AA31 AF A
P0AA37 AF A
P0AA39 AF A
P0AA41 AF A
P0AA43 AF A
P0AA47 AF A
P0AA49 AF A
P0AA53 AF A
P0AA57 AF A
P0AA60 AF A
P0AA63 AF A
P0AA67 AF A
P0AA70 AF A
P0AA73 AF A
P0AA76 AF A
P0AA78 AF A
P0AA80 AF A
P0AA82 AF A
P0AA84 AF A
P0AA86 AF A
P0AA89 AF A
P0AA91 AF A
P0AA93 AF A
P0AA95 AF A
P0AA97 AF A
P0AA99 AF A
P0AAA1 AF A
P0AAA3 AF A
P0AAA7 AF A
P0AAA9 AF A
P0AAB2 AF A
P0AAB4 AF A
P0AAB6 AF A
P0AAB8 AF A
P0AAC0 AF A
P0AAC4 AF A
P0AAC6 AF A
P0AAC8 AF A
P0AAD2 AF A
P0AAD4 AF A
P0AAD6 AF A
P0AAD8 AF A
P0AAE0 AF A
P0AAE2 AF A
P0AAE5 AF A
P0AAE8 AF A
P0AAF1 AF A
P0AAF3 AF A
P0AAF6 AF A
P0AAG0 AF A
P0AAG3 AF A
P0AAG5 AF A
P0AAG8 AF A
P0AAH0 AF A
P0AAH4 AF A
P0AAH8 AF A
P0AAI1 AF A
P0AAI3 AF A
P0AAI5 AF A
P0AAI9 AF A
P0AAJ1 AF A
P0AAJ3 AF A
P0AAJ5 AF A
P0AAJ8 AF A
P0AAK1 AF A
P0AAK4 AF A
P0AAK7 AF A
P0AAL0 AF A
P0AAL3 AF A
P0AAL6 AF A
P0AAL9 AF A
P0AAM1 AF A
P0AAM3 AF A
P0AAM7 AF A
P0AAN1 AF A
P0AAN3 AF A
P0AAN5 AF A
P0AAN9 AF A
P0AAP1 AF A
P0AAP3 AF A
P0AAP5 AF A
P0AAQ0 AF A
P0AAQ2 AF A
P0AAQ6 AF A
P0AAR0 AF A
P0AAR3 AF A
P0AAR5 AF A
P0AAR8 AF A
P0AAS0 AF A
P0AAS3 AF A
P0AAS5 AF A
P0AAS7 AF A
P0AAS9 AF A
P0AAT2 AF A
P0AAT4 AF A
P0AAT6 AF A
P0AAT9 AF A
P0AAU2 AF A
P0AAU5 AF A
P0AAU7 AF A
P0AAV0 AF A
P0AAV4 AF A
P0AAV8 AF A
P0AAW1 AF A
P0AAW9 AF A
P0AAX3 AF A
P0AAX6 AF A
P0AAX8 AF A
P0AAY1 AF A
P0AAY6 AF A
P0AAZ0 AF A
P0AAZ4 AF A
P0AAZ7 AF A
P0AB01 AF A
P0AB03 AF A
P0AB06 AF A
P0AB10 AF A
P0AB12 AF A
P0AB14 AF A
P0AB18 AF A
P0AB20 AF A
P0AB24 AF A
P0AB26 AF A
P0AB28 AF A
P0AB31 AF A
P0AB33 AF A
P0AB38 AF A
P0AB40 AF A
P0AB43 AF A
P0AB49 AF A
P0AB52 AF A
P0AB55 AF A
P0AB58 AF A
P0AB61 AF A
P0AB65 AF A
P0AB67 AF A
P0AB71 AF A
P0AB74 AF A
P0AB77 AF A
P0AB80 AF A
P0AB83 AF A
P0AB85 AF A
P0AB87 AF A
P0AB89 AF A
P0AB91 AF A
P0AB93 AF A
P0AB96 AF A
P0ABA0 AF A
P0ABA4 AF A
P0ABA6 AF A
P0ABB0 AF A
P0ABB4 AF A
P0ABB8 AF A
P0ABC0 AF A
P0ABC3 AF A
P0ABC7 AF A
P0ABC9 AF A
P0ABD1 AF A
P0ABD3 AF A
P0ABD5 AF A
P0ABD8 AF A
P0ABE2 AF A
P0ABE5 AF A
P0ABE9 AF A
P0ABF1 AF A
P0ABF4 AF A
P0ABF6 AF A
P0ABF8 AF A
P0ABG1 AF A
P0ABG4 AF A
P0ABG7 AF A
P0ABH0 AF A
P0ABH4 AF A
P0ABH7 AF A
P0ABH9 AF A
P0ABI4 AF A
P0ABI8 AF A
P0ABJ1 AF A
P0ABJ6 AF A
P0ABJ9 AF A
P0ABK2 AF A
P0ABK5 AF A
P0ABK7 AF A
P0ABK9 AF A
P0ABL1 AF A
P0ABL3 AF A
P0ABL5 AF A
P0ABL8 AF A
P0ABM1 AF A
P0ABM5 AF A
P0ABM9 AF A
P0ABN1 AF A
P0ABN5 AF A
P0ABN9 AF A
P0ABP3 AF A
P0ABP6 AF A
P0ABP8 AF A
P0ABQ0 AF A
P0ABQ2 AF A
P0ABQ4 AF A
P0ABR1 AF A
P0ABR5 AF A
P0ABR7 AF A
P0ABR9 AF A
P0ABS1 AF A
P0ABS5 AF A
P0ABS8 AF A
P0ABT2 AF A
P0ABT5 AF A
P0ABT8 AF A
P0ABU0 AF A
P0ABU2 AF A
P0ABU5 AF A
P0ABU7 AF A
P0ABU9 AF A
P0ABV2 AF A
P0ABV6 AF A
P0ABW0 AF A
P0ABW3 AF A
P0ABW5 AF A
P0ABW9 AF A
P0ABX2 AF A
P0ABX5 AF A
P0ABX8 AF A
P0ABY2 AF A
P0ABY4 AF A
P0ABY7 AF A
P0ABZ1 AF A
P0ABZ4 AF A
P0ABZ6 AF A
P0AC00 AF A
P0AC02 AF A
P0AC05 AF A
P0AC07 AF A
P0AC13 AF A
P0AC16 AF A
P0AC19 AF A
P0AC23 AF A
P0AC26 AF A
P0AC28 AF A
P0AC30 AF A
P0AC33 AF A
P0AC35 AF A
P0AC38 AF A
P0AC41 AF A
P0AC44 AF A
P0AC47 AF A
P0AC51 AF A
P0AC53 AF A
P0AC55 AF A
P0AC59 AF A
P0AC62 AF A
P0AC65 AF A
P0AC69 AF A
P0AC73 AF A
P0AC75 AF A
P0AC78 AF A
