motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Bukau4,D_Thread,98,303,0,2,0.0,,,2.0048477876833325e-05,0.0,7.920792079207921e-05,0.0,0.0,2.0048477876833325e-05,0.8155,True,C,0,0.98316
Bukau4,D_Loop,98,303,1,0,4.790648653827728e-05,0.0,0.0002395324326913,0.0,,,inf,1.0,4.790648653827728e-05,0.2489,True,C,0,0.808925
Bukau4RF,D_All,98,303,9,26,0.0003698597778266,0.0001591593865182,0.0007837467989268,0.0003139782410788,0.0002030649877913,0.0004900402474995,1.1779790107613224,0.5408587525136684,5.58815367477956e-05,0.7183,True,C,0,0.98316
Bukau4RF,D_Thread,98,303,2,16,8.620094549203034e-05,0.0,0.0003071942235644,0.0001661908942311,9.505048799425744e-05,0.0002785141165656,0.5186863329114764,0.3415361827330742,7.998994873911217e-05,0.3653,True,C,0,0.8814000000000001
Bukau4RF,D_Loop,98,303,4,16,0.0001908860357415,4.882335709403378e-05,0.0005342153922612,0.0001648958428335,9.33083742942414e-05,0.0002780544078337,1.157615816514566,0.5365254590989187,2.599019290806009e-05,0.8048,True,C,0,0.98316
Bukau4LF,D_All,98,303,17,46,0.00060406753714,0.0003316620961907,0.0011130717347346,0.0005565411718286,0.0004090998160371,0.0007627762353908,1.085395955801971,0.520474758178269,4.752636531145296e-05,0.7974,True,C,0,0.98316
Bukau4LF,D_Thread,98,303,7,21,0.000253084604724,0.0001007718801928,0.0005397759349585,0.0002139165566871,0.0001351735808477,0.0003293686604028,1.1830996564430676,0.5419357073101722,3.916804803689354e-05,0.7133,True,C,0,0.98316
Bukau4LF,D_Loop,98,303,10,25,0.0003376705131236,0.0001537524693714,0.0006913195195603,0.0002563881704289,0.0001668028703675,0.000383132457405,1.3170284438581863,0.5684127216259565,8.12823426947374e-05,0.5143,True,C,0,0.8814000000000001
Bukau5,D_All,138,416,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,0,1.0
Bukau5,D_Thread,138,416,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,0,1.0
Bukau5,D_Loop,138,416,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,0,1.0
Bukau5RF,D_All,138,416,0,6,0.0,,,6.82403991181913e-05,2.430265094591155e-05,0.0001688091512089,0.0,0.0,6.82403991181913e-05,0.2968,False,C,0,0.8814000000000001
Bukau5RF,D_Thread,138,416,0,2,0.0,,,1.6915047783174058e-05,0.0,7.217354123573256e-05,0.0,0.0,1.6915047783174058e-05,0.8169,False,C,0,0.98316
Bukau5RF,D_Loop,138,416,0,2,0.0,,,1.4588745053645518e-05,0.0,5.345916320063879e-05,0.0,0.0,1.4588745053645518e-05,0.8111,False,C,0,0.98316
Bukau5LF,D_All,138,416,2,12,2.9649223326599015e-05,0.0,0.0001060381813278,0.0001188156602902,6.136563645632976e-05,0.0002185163315988,0.2495396924460663,0.1997052946414002,8.916643696362589e-05,0.1802,False,C,0,0.7808666666666666
