motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Emperical5RF,D_Thread,105,243,5,12,0.0001559298829297,4.472723430731484e-05,0.0005041844523891,0.0002024512060399,0.0001007069016809,0.0003880415332505,0.7702097012896327,0.4350951758588374,4.652132311020089e-05,0.6989,False,C,20,1.0
Emperical5RF,D_Loop,105,243,15,26,0.0005159725114238,0.0002859520888392,0.0009273956414751,0.0003256213401592,0.0002103720687773,0.0005045895954217,1.5845783054988969,0.613089687446335,0.0001903511712645,0.1984,False,C,20,0.990132
Emperical5LF,D_All,105,243,19,77,0.0005761184271262,0.0003401843304521,0.0009437776759447,0.0014619072994903,0.0011310148170651,0.0020360074283201,0.3940868393824435,0.2826845704655079,0.000885788872364,0.006,False,C,20,0.468
Emperical5LF,D_Thread,105,243,5,13,6.343319635725695e-05,2.129018522461145e-05,0.0001428574196558,0.0001802300299194,9.650576841362892e-05,0.0003142162871038,0.3519568652659797,0.260331430911989,0.0001167968335622,0.1605,False,C,20,0.990132
Emperical5LF,D_Loop,105,243,9,31,0.0002510631166663,0.0001078871481113,0.0006085547031936,0.000410997292896,0.000276361569352,0.0006076160906284,0.6108631881665422,0.379214816412694,0.0001599341762297,0.2754,False,C,20,0.990132
Emperical5,D_All,81,183,5,18,0.0002120341019617,5.7155921353452216e-05,0.0006962084944839,0.0002838799733743,0.000166274943605,0.0004568780317257,0.746914618320504,0.4275621776172397,7.184587141261678e-05,0.6038,True,C,20,0.990132
Emperical5,D_Thread,81,183,2,5,2.759838825412596e-05,0.0,0.0001103935530165,9.7968767876995e-05,3.370329217498962e-05,0.0002471188135184,0.2817059850010281,0.2197898646785223,7.037037962286903e-05,0.3969,True,C,20,0.990132
Emperical5,D_Loop,81,183,4,6,0.0001684097944976,3.679785100550128e-05,0.0006551210001928,7.804867642380652e-05,2.962408012116517e-05,0.0001790531103203,2.157753368976573,0.6833191566432879,9.036111807382442e-05,0.3792,True,C,20,0.990132
Emperical5RF,D_All,81,183,26,60,0.0010882396444969,0.0007100827845958,0.001613852440348,0.0012516157893473,0.0009713472599671,0.0015881265391891,0.8694678141320387,0.4650884104874079,0.0001633761448503,0.564,True,C,20,0.990132
Emperical5RF,D_Thread,81,183,5,12,0.0002021313297237,5.7979748176148864e-05,0.0006504984023311,0.0002688286506432,0.0001347870033017,0.0005004164655884,0.7518965305228011,0.4291900334424545,6.669732091946434e-05,0.6728,True,C,20,1.0
Emperical5RF,D_Loop,81,183,15,26,0.0006688532555494,0.0003727420093863,0.0011825116683549,0.0004323824352934,0.0002800318296329,0.0006602683659873,1.5469020037677848,0.607366126171859,0.0002364708202559,0.2246,True,C,20,0.990132
Emperical5LF,D_All,81,183,18,67,0.0007085982668649,0.0004143064997687,0.0011856191749391,0.0013840568566658,0.0010780640790375,0.0017540007512352,0.5119719348610793,0.3386120622061146,0.0006754585898008,0.0173,True,C,20,0.6747
Emperical5LF,D_Thread,81,183,5,13,8.222821750014791e-05,2.759838825412596e-05,0.0001838299889714,0.0002393218430078,0.0001311319932184,0.0004188828860057,0.3435884349990245,0.2557244659517138,0.0001570936255076,0.1442,True,C,20,0.990132
Emperical5LF,D_Loop,81,183,9,31,0.0003254521882711,0.0001395083152545,0.0007503612166092,0.0005457505036816,0.0003690227505048,0.0008108840135158,0.5963387776568668,0.3735665549214954,0.0002202983154105,0.2397,True,C,20,0.990132
Bukau4,D_All,105,243,2,1,0.0001275284557587,0.0,0.0005035041164863,1.646090534979424e-05,0.0,9.876543209876544e-05,7.747353687341439,0.8856797111740056,0.0001110675504089,0.1005,False,C,30,0.9901224489795918
Bukau4,D_Thread,105,243,0,1,0.0,,,1.646090534979424e-05,0.0,9.43826166904829e-05,0.0,0.0,1.646090534979424e-05,1.0,False,C,30,1.0
Bukau4,D_Loop,105,243,1,1,4.47127207690588e-05,0.0,0.0002235636038452,1.646090534979424e-05,0.0,8.23045267489712e-05,2.7162977867203217,0.7309149972929075,2.825181541926456e-05,0.7872,False,C,30,1.0
Bukau4RF,D_All,105,243,7,18,0.000240951406834,9.000287869567535e-05,0.0005686696147725,0.0003905794952349,0.0002244900669738,0.0006390550108214,0.6169074664021724,0.3815354182109574,0.0001496280884009,0.3854,False,C,30,0.9901224489795918
Bukau4RF,D_Thread,105,243,2,6,8.045421579256166e-05,0.0,0.0002762483965491,7.693357485197356e-05,2.9384241826139536e-05,0.0001701609133651,1.045762086934893,0.5111846062714597,3.5206409405881e-06,0.9482,False,C,30,1.0
Bukau4RF,D_Loop,105,243,3,7,0.0001013553845108,1.107419712070875e-05,0.0003274862259122,9.807676900054669e-05,4.033799915384228e-05,0.0002122994584602,1.03342907340576,0.5082198769170173,3.2786155103190557e-06,0.959,False,C,30,1.0
Bukau4LF,D_All,105,243,17,37,0.0006917665870084,0.0003808587015496,0.0012187892243298,0.0006103956061569,0.0004276211789192,0.000875557239214,1.1333085953285524,0.5312445643402147,8.137098085149723e-05,0.7073,False,C,30,1.0
Bukau4LF,D_Thread,105,243,5,13,0.0001519816951318,4.8967961281901566e-05,0.0003896291871531,0.0001541183206437,8.587903951026855e-05,0.0002606998597238,0.9861364599420656,0.4965099225713981,2.136625511905721e-06,0.9794,False,C,30,1.0
